Weight (lb),Body Fat,Muscle Mass,Water,BMI,Date/Time
179.4,19.2%,37.2%,62.7%,24.3,Jun 20 2019 05:59:09 AM
179.6,19.1%,37.2%,62.8%,24.4,Jun 21 2019 06:47:09 AM
183.0,19.8%,36.8%,62.2%,24.8,Jun 24 2019 06:47:25 AM
181.4,19.5%,37%,62.4%,24.6,Jun 25 2019 06:30:24 AM
179.0,18.9%,37.3%,63%,24.3,Jun 27 2019 06:59:27 AM
180.4,19.1%,37.2%,62.8%,24.5,Jun 30 2019 10:43:05 AM
179.6,19%,37.3%,62.9%,24.4,Jul 01 2019 07:14:39 AM
180.4,19.3%,37.1%,62.7%,24.5,Jul 02 2019 06:54:21 AM
178.0,18.7%,37.4%,63.1%,24.1,Jul 03 2019 07:03:36 AM
179.2,19%,37.3%,62.9%,24.3,Jul 08 2019 07:02:02 AM
176.6,18.5%,37.6%,63.3%,23.9,Jul 10 2019 07:01:25 AM
176.4,18.4%,37.6%,63.3%,23.9,Jul 11 2019 07:00:21 AM
176.0,18.3%,37.7%,63.4%,23.9,Jul 12 2019 06:59:56 AM
174.6,18%,37.8%,63.7%,23.7,Jul 13 2019 10:05:01 AM
174.0,17.9%,37.9%,63.8%,23.6,Jul 14 2019 10:11:09 AM
177.4,18.7%,37.4%,63.1%,24.1,Jul 15 2019 07:13:00 AM
176.8,18.5%,37.6%,63.3%,24,Jul 16 2019 06:56:07 AM
176.6,18.5%,37.5%,63.2%,23.9,Jul 17 2019 07:13:04 AM
175.2,18.2%,37.7%,63.5%,23.8,Jul 18 2019 07:16:06 AM
176.6,18.4%,37.6%,63.3%,23.9,Jul 19 2019 06:52:53 AM
175.4,18.2%,37.7%,63.5%,23.8,Jul 20 2019 12:26:15 PM
176.8,18.4%,37.6%,63.4%,24,Jul 21 2019 10:41:13 AM
174.4,18%,37.8%,63.6%,23.7,Jul 23 2019 07:04:44 AM
176.4,18.5%,37.5%,63.3%,23.9,Jul 24 2019 06:49:01 AM
174.0,18%,37.8%,63.6%,23.6,Jul 25 2019 07:04:21 AM
174.4,18%,37.8%,63.7%,23.7,Jul 26 2019 07:00:35 AM
174.2,17.9%,37.9%,63.7%,23.6,Jul 27 2019 10:00:36 AM
